last_name,first_name,birthday,gender,type,state,district,senate_class,party,url,address,phone,contact_form,rss_url,twitter,facebook,youtube,youtube_id,bioguide_id,thomas_id,opensecrets_id,lis_id,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id
Brown,Sherrod,1952-11-09,M,sen,OH,,1,Democrat,https://www.brown.senate.gov,713 Hart Senate Office Building Washington DC 20510,202-224-2315,http://www.brown.senate.gov/contact/,http://www.brown.senate.gov/rss/feeds/?type=all&amp;,SenSherrodBrown,SenatorSherrodBrown,SherrodBrownOhio,UCgy8jfERh-t_ixkKKoCmglQ,B000944,00136,N00003535,S307,5051,400050,27018,Sherrod Brown,,29389,Sherrod Brown
Cantwell,Maria,1958-10-13,F,sen,WA,,1,Democrat,https://www.cantwell.senate.gov,511 Hart Senate Office Building Washington DC 20510,202-224-3441,http://www.cantwell.senate.gov/public/index.cfm/email-maria,http://www.cantwell.senate.gov/public/index.cfm/rss/feed,SenatorCantwell,senatorcantwell,SenatorCantwell,UCN52UDqKgvHRk39ncySrIMw,C000127,00172,N00007836,S275,26137,300018,27122,Maria Cantwell,,39310,Maria Cantwell
Cardin,Benjamin,1943-10-05,M,sen,MD,,1,Democrat,https://www.cardin.senate.gov,509 Hart Senate Office Building Washington DC 20510,202-224-4524,http://www.cardin.senate.gov/contact/,http://www.cardin.senate.gov/rss/feeds/?type=all,SenatorCardin,senatorbencardin,senatorcardin,UCiQaJnMzlfzzG3VESgyZChA,C000141,00174,N00001955,S308,4004,400064,26888,Ben Cardin,,15408,Ben Cardin
Carper,Thomas,1947-01-23,M,sen,DE,,1,Democrat,https://www.carper.senate.gov/public,513 Hart Senate Office Building Washington DC 20510,202-224-2441,http://www.carper.senate.gov/public/index.cfm/email-senator-carper,http://www.carper.senate.gov/public/index.cfm/rss/feed,SenatorCarper,tomcarper,senatorcarper,UCgLnvbKwu4B3navofj6Qvvw,C000174,00179,N00012508,S277,663,300019,22421,Tom Carper,,15015,Tom Carper
Casey,Robert,1960-04-13,M,sen,PA,,1,Democrat,https://www.casey.senate.gov,393 Russell Senate Office Building Washington DC 20510,202-224-6324,https://www.casey.senate.gov/contact/,http://www.casey.senate.gov/rss/feeds/?all,SenBobCasey,SenatorBobCasey,SenatorBobCasey,UCtVssXhx-KuZa-hSvnsnJ0A,C001070,01828,N00027503,S309,47036,412246,2541,"Bob Casey, Jr.",,40703,Bob Casey Jr.
Corker,Bob,1952-08-24,M,sen,TN,,1,Republican,https://www.corker.senate.gov,425 Dirksen Senate Office Building Washington DC 20510,202-224-3344,https://www.corker.senate.gov/public/index.cfm/emailme,http://www.corker.senate.gov/public/index.cfm/rss/feed,SenBobCorker,bobcorker,senatorcorker,UCm7if_szz7DxfcdYGrywHSA,C001071,01825,N00027441,S310,1021114,412248,65905,Bob Corker,,40705,Bob Corker
Feinstein,Dianne,1933-06-22,F,sen,CA,,1,Democrat,https://www.feinstein.senate.gov,331 Hart Senate Office Building Washington DC 20510,202-224-3841,https://www.feinstein.senate.gov/public/index.cfm/e-mail-me,http://www.feinstein.senate.gov/public/?a=rss.feed,SenFeinstein,senatorfeinstein,SenatorFeinstein,UCtVC--6LR0ff2aOP8THpuEw,F000062,01332,N00007364,S221,13061,300043,53273,Dianne Feinstein,,49300,Dianne Feinstein
Hatch,Orrin,1934-03-22,M,sen,UT,,1,Republican,https://www.hatch.senate.gov,104 Hart Senate Office Building Washington DC 20510,202-224-5251,http://www.hatch.senate.gov/public/index.cfm/contact?p=Email-Orrin,http://www.hatch.senate.gov/public/index.cfm/rss/feed,SenOrrinHatch,senatororrinhatch,SenatorOrrinHatch,UCQUPyPV_SR435OsPiFNIWPQ,H000338,01351,N00009869,S118,189,300052,53352,Orrin Hatch,,14503,Orrin Hatch
Klobuchar,Amy,1960-05-25,F,sen,MN,,1,Democrat,https://www.klobuchar.senate.gov,302 Hart Senate Office Building Washington DC 20510,202-224-3244,http://www.klobuchar.senate.gov/public/index.cfm/contact,,,,senatorklobuchar,UCvdeJsDsV51tFb_hVqvtYGA,K000367,01826,N00027500,S311,83701,412242,65092,Amy Klobuchar,,40700,Amy Klobuchar
McCaskill,Claire,1953-07-24,F,sen,MO,,1,Democrat,https://www.mccaskill.senate.gov,503 Hart Senate Office Building Washington DC 20510,202-224-6154,http://www.mccaskill.senate.gov/contact,http://mccaskill.senate.gov/rss/?p=news,McCaskillOffice,senatormccaskill,SenatorMcCaskill,UCnarZ9jmNhI-eDcEPBwqMFw,M001170,01820,N00027694,S312,1012014,412243,2109,Claire McCaskill,,40701,Claire McCaskill
